,review,polarity,division
74,excellent product modern livingonly problem hook bollywood reason unable figure song play bollywood even if ask play something else but not specificbarring excellent product,0.44,positive
2022,excellent product must buy,1,positive
1646,excellent product must buy fill real experience new technology,0.4455,positive
286,excellent product need plug time no battery little guy strange say pretty amaze sound tiny speaker also headphone jack,0.2516,positive
3091,excellent product need software integration part,0.5,positive
1044,excellent product parameters truly delight purchase well worth buy kind experience,0.65,positive
1701,excellent product performance,1,positive
3784,excellent product reasonable price,0.6,positive
392,excellent product sound output also good decent amount bass connectivity good bluetooth line options time will shout if music play unlike google good product,0.5021,positive
3564,excellent product thank amazon,1,positive
1154,excellent product useful value money go,0.695,positive
2228,excellent product worth cost,0.65,positive
3909,excellent productrecomend buy,1,positive
1079,excellent productu must wifi home work,1,positive
3500,excellent productyou even play musics phone not saavn,1,positive
2364,excellent response,1,positive
22,excellent service provide device problem eco dot generation device launch app but never play video especially youtube feature basic one add device will enhance product service overall please take consideration also connect atleast firesticks tvs single home minimum much sure if two feature could add device will enhance overall service product will reach many people india thus increase sale product,0.164,positive
1684,excellent smart speaker justit give problem change wifi network,0.6071,positive
4128,excellent sound quality,0.7,positive
1542,excellent sound quality nice much clear music announcement,0.431,positive
2795,excellent sound qualitygood interface,0.7,positive
960,excellent speaker but need improvement software development skills although paisa wasool,1,positive
3370,excellent thank amazon,0.6,positive
3026,excellent totally value money,0.5,positive
4121,excellent useful kid,0.695,positive
2760,excellent voice recognition,1,positive
2787,excellent voice recognition sound quality,0.7,positive
3450,excellent vwry usefull,1,positive
3878,except sound qualityalexa not atall user friendly,0.3875,positive
3877,excilent product,0,neutral
377,excite get smart device first time but disappoint able connect first explore things auto disconnect try multiple time connect not happen bad return product,0.0174,positive
27,excite purchase happy get deliver one day advance try set alexa but end unsuccessful almost hours decide call customer service request call back even call amaze prompt service agent speak mr sami polite professional speak minutes finally come know agent product get report steal miss product couldnt complete set process completely surprise confuse come big firm like amazon deliver steal product customers agent manage replaceml product give end end service happy customers service not amazon service,0.1991,positive
1495,exhko sab chalata use use kar ke bohot khush kamal ka product hai,0,neutral
2997,exlent work alex,0,neutral
2146,expect,-0.1,negative
884,expect but sometimes total different say even add skills doesnt work properly,0.08,positive
612,expect give price product quality sound average bite disappoint product,0,neutral
1129,expect much alexa otherwise play songs light night useful,0.295,positive
549,expect onoff cant even turn light specific time voice command phone build google assistant,0.2,positive
219,expect product like use place if internet but wont work way doesnt battery plug time socket also dont option connect different internet connections automaticallyi understand will useful listen music ask regular queriesmusic also will play time playlistespecially use product home,0.1167,positive
1183,expect small size but bigger surprisingly rich n loud sound u wont regret buy,0.0875,positive
1216,expect wasnt worth money sound quality not good expect amazon also time alexa doesnt understand say disappoint amazon,0.1036,positive
3809,expectation,0.5,positive
251,expectations high buy alexa eco dot speakerwhen say play song gulabi ankhe ho teri dekhi doesnt understand play different songsometimes shout alexa give command alexa play songbcz software issue not listen one timei really feed alexa speaker not use itamazon not expect,0.136,positive
2754,expectations high product but not match level,0.16,positive
23,expensive smart speaker work plug bluetooth old dur audio poor sound become low no battery support speaker if no power can not use device sometimes song change hear distort sound not worth purchase bluetooth quality speaker bad need shout alexa hear voice sensor poor full volume alexa will not recognise command,-0.0597,negative
1301,experience alexa us really good mum dad love direct alexa listen favourite music worth buy also if smart appliances home really come handy,0.4029,positive
97,explain english hindi songs specific jio saavan amazon music can not recognize voice low volume distance can not understand play many telugu songs suggest songs available music app keep default amazon musicbluetooth connection device difficult set if not use change wifi network take lot time every time u need enter set mode orange color light press dot button better if directly change app,0.1458,positive
659,explore n use u need amazon prime not correctpaid device bt nt able use fully due no prime members better ho google device,0.3438,positive
1765,exsept sound quality waste please dont buy people wifi router buy thisits waste cost,0,neutral
1266,extend warranty come handythe power adaptor little bigshould use surge protectorand also preferably extension board since adapter make hard use switch,-0.2396,negative
1675,extraordinary,0.3333,positive
237,extremely awesome well integrate device watch lot videos claim google home much better software search relate task but seriously say go without second think didnt find trouble search relate task however continue conversation bite limit but rest everything awesome highlight point google cant beat skills easy use alexa alexa come thousands skills fun game much,0.2607,positive
194,extremely bad experience amazon buy combo fire tv stick wipro bulb rs three previous fire stick sale instead time will pay stick echo dot get wipro bulb like buck otherwise echo dot run fine first days face mic issue time felt could noise ceiling fan perhaps try run specific list eg go amazon music app saw playlist want play ask echo dot play list amazon music instead keep play random playlists time mention didnt recognise list even though right front phone email cs issue no response till date days workaround decide play music app rather cast echo dot keep show connect blue circle keep roll but nothing ever happen mean cast option also didnt work techie perform tech article google reset device etc check location not finally ring cs perfomed troubleshoot didnt work inform would contact hours mention replacement window end hours want response wasnt keen go replacement trouble people agree wait hours window surprise days no response call cs ask wait hours ask supervisor come call ask wait team perform troubleshoot lose ask replacement huge hold verbal discussions fro supervisor agree replacement but inform id inform hours check issue refund cost rs setback whole logic bundle save money absolutely rubbish amazon support really destroy overall experience buy items worth lacs wonder if worth,0.0324,positive
453,fabulous product easy operation age mother use seamlessly easily recognize hindi language morning command play live gurbani later day favourite singers song no wire no pair phone drop feature amaze come handy time phone not nearby amaze product amazon,0.3103,positive
946,face difficulties connect internet initially get prompt assistance amazon far work fine good one,0.3042,positive
3146,face problem pls help,0,neutral
1700,fake product,-0.5,negative
1322,fall love product cant express feel but one thing alexa connect wifi,0.25,positive
1152,family always enjoy talk alexa great enjoyment,0.6,positive
2092,family like,0,neutral
2544,fantastic,0.4,positive
3948,fantastic,0.4,positive
4136,fantastic,0.4,positive
3268,fantastic device,0.4,positive
1726,fantastic performance worth money,0.35,positive
2886,fantastic product,0.4,positive
3892,fantastic product,0.4,positive
1970,fantastic product really good,0.55,positive
2670,fantastic product voice recognition sound quality much better alexa integration also fantastic,0.425,positive
1689,fantastic product way better mi google assistant go,0.45,positive
1117,fantastic productloving,0.4,positive
279,far field voice recognition doesnt work well echo device echo spot job much better audio quality not comparable bluetooth speakers price point however one thing well alexa integration joy alexa plan day remind things would go save life thank alexa not much thank audio quality,0.2429,positive
863,far good but sometimes doesnt provide expect answer question overall good experience fun use,0.2833,positive
1091,far ive find best ai assistant among sound quality perfect voice recognition nearly perfect,0.7,positive
2659,far mic create issue music play loud far field mic time doesnt simply worksrest everything awesome love,0.3333,positive
3991,far product amaze worth money tbh,0.3333,positive
2806,far voice recognitionbest smart speakers price,0.1571,positive
2485,farfield voice control point,0,neutral
1859,fast days work well stop play songs,0.2,positive
3386,fast search beautiful sound quality,0.555,positive
2265,faulty pieceits not turn,0,neutral
1140,faulty product work perfectly fine days not not work request amazon team let know product doesnt take command ff take disruption,0.4167,positive
840,favorite,0.5,positive
3305,favorite product,0.5,positive
1238,favourite dialogue idont know need improvement,0,neutral
1473,feature add like mute app search app ai feature,0,neutral
755,feature complicate complicate connect tv alexa not listen return product day,-0.4333,negative
3199,feature okay,0.5,positive
133,feature wise review sound quality star loud clear voice recognition alexa intergration smart feature alexa skills lot improvement neede term alexa skills doesnt work well scenario alexa not able give search result base exact location one scenario search dominos check efficiency give nearest result not even city even though wifi gps location well mark google map well,0.2114,positive
2661,featuressound qualityvoice recognition,0,neutral
2855,feel good good deal,0.805,positive
1174,feel like really reach new era dont feel lonely echo dot,0.0788,positive
4055,feel much better,0.5,positive
2272,finally one month use alexa write review perfect sound quality nice product amazon keep add alexa skills thank,0.45,positive
2251,find alexa helpful but need upgrade come know song name specially bollywood song name p,0.3571,positive
3244,find difficult integrate,-0.5,negative
1724,find difficulty play bollywood music say can not find alexa can not find movie songsoverall product good,0.7,positive
352,find handy good assistant home understand alexa skills find useful overall not regret buy instead china wish amazon make india make indians happy,0.5414,positive
1477,find limit music options carnatic music,-0.0714,negative
2779,find useful everyone one home,0.39,positive
259,find useless connect phone difficult processwe smart phone things normal speaker usefull,-0.0271,negative
2662,fine,0.4167,positive
1915,fine but need improve skills,0.4167,positive
2561,fine product,0.4167,positive
2479,fine sound quality could better,0.4389,positive
427,first alexa product get free w wipro smart bulb price combo superb if weak wi fi connection will give trouble otherwise go without second doubt,0.1842,positive
1911,first alexa work fine but get hang lot problem conectivity,0.3333,positive
783,first amazon alexa echo dot generation finally today receive smart speaker amaze connectivity good,0.3529,positive
626,first big thank amazonalexa awesome but sometimes doesnt listen us lill annoyingi couldnt find oneplus tv skills game lill disappointedwish somebody help,0.3625,positive
151,first bring product love but months use reset could not connect internet setup time take hours really could not connect internetthe main problem device if no internet dumb box could not anything nowhere mention product description also if multiple internet connection can not save internet connections could connect one not work main disappointment would not comment sound quality much products price range greater sound qualityspeech recognition good but time interpret wrong song need irritate time switch mobile app play right song alexa normal bluetooth speaker no value addition hop amazon will improve ai feature lot like google siri,0.2026,positive
1572,first days amaze rockedafter lag voice not connect bluetooth properlyit insane want claim warranty,-0.05,negative
834,first didnt expect sound quality afterall think smart home capabilities but receive sound quality unexpected bass great voice recognition also good but need improvement,0.3393,positive
31,first echo own far love everything list news update link calendar play music convenient hopefully future will buy products control like thermostat light say wonder world amazon product not control amazon fire stick fustraiting hope amazon will come update soon will allow echo option seem like literally control everything except fire stick give star,0.275,positive
939,first experience smart speakeri live echo dot,0.2002,positive
4077,first face difficult install customer care help enjoy thank u amazon,0.05,positive
500,first impression last impression really echo best companion time sound really good rich bass treble everything need rock floorreally appreciate people work behind projectreally amazon cheer,0.2639,positive
1903,first inbuilt battery connect internet bluetooth bite slow otherwise fine,0.1222,positive
432,first look echo dot think would small but size good sound also superbjust ai if ask question will not answer crisp clear get google otherwise entertainment best connectivity also easy,0.372,positive
2316,first no dislike affordable price best setup little difficult,0.1406,positive
945,first smart device work great no complaints work well smart bulbssetup incredibly simple easy good sound quality easily recognize voice command,0.3828,positive
1522,first smart speaker,0.2321,positive
2073,first smart speaker,0.2321,positive
995,first smart speaker really amaze use love thank amazon able recognize query even year old kid wonderful,0.3949,positive
46,first smart speakerthis launch get product plus reduce price due sale nice smart bulb rupees overall think super value money havent use smart speaker but happy purchase observations initially feel bite weird talk speaker but get use no time sound quality pretty good get good depth sound decent bass several skills available will definitely find useful example add stuff shop list set reminder understand indian accent well sometimes amaze well pick stuff kid love add advantage take help homework talk alexa also motivate talk english,0.232,positive
86,first thing happy amazon deliverythe product hand order even not prime member good super fast delivery compare othershere review use weekecho dot alexa product good conditionfeatures smart play variety music mind alexa tell whether info news reminder alarm single statement speak feel smartness talk alexa yr son also like speak alexa ask play songs like overall happy product,0.4637,positive
837,first time buy alexa enable deviceand say frankly family enjoy alexa family member,0.375,positive
3603,five star,0,neutral
454,follow mode not workingtried every troubleshootingmay product bugreturning itfollow mode important feature alexa use tv day day questionsnot always respond ur voice u give continuous command one anotherall things work fine,0.2979,positive
1965,food,0,neutral
1647,fraud products experience badalaxa voice issue connect issue work slow,-0.095,negative
1687,friend forever,0,neutral
1919,friendly product,0.4875,positive
592,frnd make china,0,neutral
101,frustrate feature alexa annoy announcement connect bluetooth every time connect device no way disable people cry years amazon not listeningother much better comparison google home mini comparison voice quality search,-0.08,negative
2346,fulfill need control smart home gadgets,0.2143,positive
149,fully honest reviewok echo dot great smart speaker great abilitiesprosit control almost every smart home devicespeaker quality greathave hundreds skillsspeaks hindi wellcan buy products amazonmic really awesome hear another rooma really good feature talk hindi english time like give command english give next command hindiher voice better google assistantcoordinates wellgood children wellcan control alexa devices wellconssome time not wake say wakeup word time wake upi dont know remove zomato skill good skillsometimes listen wrongstarsalexa quality home control reviewa great smart speaker but will suggest buy echo instead echo dotthats folks,0.4011,positive
2494,fun,0.3,positive
1484,fun buy if u never alexa experience,0.3,positive
1161,fun days but start get bore feel useless im return,-0.2333,negative
3664,fun entertain thank wonderful product,0.5,positive
2777,fund throughout day device,0,neutral
1398,funvoice operate player,0,neutral
3686,gazab,0,neutral
1335,gd,0,neutral
3484,gd,0,neutral
1673,gd but bulb connection poor,-0.4,negative
982,gen echo dotgood entertainmentand j integrate device smart ir remote wifi bulbboth work well,0.0571,positive
3011,generation alexa not connect,0,neutral
2565,genuine product,0.4,positive
525,get alexa gen free purchase oneplus tv last week simply awesome yrs old kid love n command alexa play songs recognise word,0.375,positive
640,get alexa part package never new good would definitely recommend others sound quality amaze new echo dot,0.2947,positive
1227,get awesome price segment favorite alexa,0.75,positive
3093,get best experience put speaker ear level,1,positive
3236,get better product price,0.5,positive
780,get combo offer mi robot plus alexa total price rs awesome,0.5,positive
45,get device wipro smart bulb freedom sale think good dealsound quality speaker awesomevery loud good amount bass produce fill roomsoftware not great voice recognition poorsometimes wont respondsresponses limit time doesnt respond make go madyou create routines like editable alexa appaux connectivity help connect home theater,0.3302,positive
1654,get echo device but no adpater plug,0,neutral
268,get echo dot add smart bulb cart cost total sound quality best categorysmart speakersbluetooth connectivity pair bluetooth speaker need patience bcoz time doesnt recognizealexa task could better,0.3556,positive
84,get echo dot offer excite use but voice recognition not work try restart do troubleshoot step but no use place replacement let see happensthe main feature app echo dot alexa but not woorking,0.2708,positive
2158,get error sorry trouble understand right switch off wifi modem router get thing,-0.1036,negative
73,get faulty product light minsthen go offthere no orange lighttotally dissatisfy minsreturn status apply return day product deliver next day get sms state pick time schedule pm ridiculous would amazon pickup service want someone home whole day receive pick guy wait till leave imp service sms send morning hrs approx pickup time would meaningful totally cheat lethargic,0.0824,positive
3674,get friend receive product time sad hate amazon seller,-0.3625,negative
3100,get great indian festival offer think value price range alexa reponse fast,0.53,positive
804,get great indian festival sale im love much fun make life easier,0.5667,positive
724,get great price sound quality top notch bass also goodonly concern play music prime member amazon use iheartradio jiosaavan but cant sync media playersbluetooth connectivity also good,0.3542,positive
2243,get help bad internet connection not able update alexa not able use grt help plz,-0.47,negative
1118,get last year amazon great indian sale almost year use will say still work great,0.5333,positive
1411,get multi color bulb also work good,0.7,positive
637,get offer along smart light great sometimes take time search songs but rest great though lack feature like map integration but happy offer however if battery backup will great,0.5592,positive
2721,get offer best assistance star less alexa eco dot recommend star,0.4167,positive
2949,get offer easy work,0.5633,positive
2246,get offer prime members worth every penny useful especially if want listen songs drive,0.23,positive
76,get one prime day sale use month reviewpros excellent speaker standalone speaker smart device price point get prime day alexa almost no trouble recognize voice rarely falter plus integration amazon ecosystem place order track deliveries also receive news update via eco dot bluetooth even use bluetooth speaker ipad phone great job need power source thoughcons portability removable usb cable adapter would enable much wider usage battery bank power one command time can not execute command one go like switch light play music will need say alexa time bite abrupt time start stop music etcverdict brilliant smart speaker home use great price point,0.4078,positive
3916,get parcel today order husband love muchthank u amazon,0.45,positive
784,get pause play within every second,0,neutral
1620,get prodicts delivery yesterday happy product but play amazon playlist need wifi evrytime work,0.4,positive
400,get product offer basis product good but issue find one alexa not recognise voice clearly second one not play correctly ask might send refurbish item actually dont know reg issue saw friends alexaecho dot really not satisfy product,0.11,positive
231,get replace but not work feed performance ask amazon replace eco dot generation will pay difference but not agree will pay difference amount will occur get new generation eco dot,0.2121,positive
2916,get sale best one go sound amaze,0.6667,positive
723,get sale great price wipro bulb product undoubtedly excellent work like charmcalling feature great easy,0.7908,positive
531,get steal price sound better expect recognize voice command welldefinitely buy another even if pay double price pay,0.2,positive
318,get time sale use google mini use google think upgrade check alexa good well bad google different term alexa better far field recognition but think order save money amazon make cut off alexa generation literally understand say time timeswell overall good package price rangesound awesome,0.2875,positive
1127,get use product never expect amazon seal open even product not good doesnt work without power doesnt work without wifi time,-0.1,negative
1366,get wipro smart bulb,0.2143,positive
1256,get wipro smart lead include thank amazon,0.1381,positive
4078,gift alexa friend birthday love,0.6,positive
2032,gift family love if explore certainly really good feature sound quality good well mean good single room,0.3923,positive
806,gift good age wish gujarati language option available although combination english hindi option no issue non english speakers nice passtime seniors wish amazon make work unplug,0.3467,positive
563,gift mother birthday year shes lot fun discover many new feature great way ease parent iot,0.4473,positive
3099,gift nephew like much,0.4333,positive
680,gift niece fascinate product ai reply question,0.5,positive
1536,gift parent love sound quality good,0.525,positive
1547,give asa present loveit,0,neutral
312,give base initial pointspackage doesnt air packets expect proper packageit say generation but still not aux cable charge optionprossound clarity really goodgo if music loveralmost recognise voice,0.0667,positive
2534,give battery platforms access,-0.125,negative
894,glad bring alexa home like new family member always listen help us entertain us well control smart devices smartly,0.3037,positive
1269,go,0,neutral
2677,go,0,neutral
854,go access wifi bluetooth enable devices sofa,0,neutral
2234,go first buy self order one gift relative,0.25,positive
289,go guy integrate tv ac light make things different home also ask anything nearby room also alexa answer play songs mom news dad start add new feature become funyes one thing interact become better,0.2841,positive
1540,go without think love,0.7,positive
3349,god,0,neutral
853,good,0.91,positive
1022,good,0.7,positive
1041,good,0.7,positive
1160,good,0.7,positive
1162,good,0.91,positive
1180,good,0.91,positive
1234,good,0.7,positive
1253,good,0.7,positive
1255,good,0.7,positive
1336,good,0.7,positive
1348,good,0.7,positive
1414,good,0.7,positive
1444,good,0.7,positive
1446,good,0.7,positive
1475,good,0.7,positive
1499,good,0.7,positive
1560,good,0.7,positive
1593,good,0.7,positive
1616,good,0.7,positive
1643,good,0.7,positive
1682,good,0.7,positive
1706,good,0.7,positive
1762,good,0.91,positive
1804,good,0.91,positive
1830,good,0.7,positive
1866,good,0.7,positive
1893,good,0.91,positive
1943,good,0.7,positive
2064,good,0.7,positive
2066,good,0.7,positive
2074,good,0.7,positive
2119,good,0.7,positive
2120,good,0.91,positive
2145,good,0.91,positive
2165,good,0.7,positive
2166,good,0.91,positive
2212,good,0.7,positive
2274,good,0.7,positive
2278,good,0.7,positive
2304,good,0.7,positive
2321,good,0.91,positive
2375,good,0.7,positive
2402,good,0.7,positive
2441,good,0.7,positive
2473,good,0.7,positive
2506,good,0.91,positive
2527,good,0.7,positive
2579,good,0.7,positive
2592,good,0.7,positive
2612,good,0.7,positive
2647,good,0.91,positive
2678,good,0.7,positive
2685,good,0.7,positive
2699,good,0.7,positive
2709,good,0.7,positive
2713,good,0.7,positive
2717,good,0.7,positive
2724,good,0.7,positive
2730,good,0.7,positive
2738,good,0.7,positive
2757,good,0.7,positive
2762,good,0.7,positive
2764,good,0.7,positive
2774,good,0.7,positive
2793,good,0.7,positive
2844,good,0.7,positive
2856,good,0.91,positive
2864,good,0.7,positive
2907,good,0.7,positive
2942,good,0.7,positive
2961,good,0.7,positive
3009,good,0.7,positive
3010,good,0.7,positive
3041,good,0.7,positive
3071,good,0.7,positive
3082,good,0.7,positive
3121,good,0.7,positive
3134,good,0.7,positive
3143,good,0.7,positive
3157,good,0.7,positive
3159,good,0.7,positive
3162,good,0.7,positive
3168,good,0.7,positive
3217,good,0.91,positive
3247,good,0.7,positive
3256,good,0.91,positive
3260,good,0.91,positive
3273,good,0.7,positive
3285,good,0.7,positive
3298,good,0.7,positive
3302,good,0.7,positive
3322,good,0.7,positive
3347,good,0.7,positive
3380,good,0.7,positive
3382,good,0.7,positive
3438,good,0.91,positive
3452,good,0.7,positive
3456,good,0.7,positive
3457,good,0.7,positive
3459,good,0.7,positive
3460,good,0.91,positive
3475,good,0.7,positive
3512,good,0.7,positive
3530,good,0.7,positive
3532,good,0.7,positive
3536,good,0.7,positive
3538,good,0.91,positive
3548,good,0.7,positive
3555,good,0.7,positive
3563,good,0.7,positive
3569,good,0.7,positive
3594,good,0.7,positive
3595,good,0.7,positive
3640,good,0.7,positive
3655,good,0.7,positive
3668,good,0.7,positive
3691,good,0.7,positive
3723,good,0.7,positive
3737,good,0.7,positive
3749,good,0.7,positive
3760,good,0.7,positive
3781,good,0.7,positive
3791,good,0.7,positive
3805,good,0.7,positive
3818,good,0.7,positive
3825,good,0.7,positive
3834,good,0.7,positive
3836,good,0.91,positive
3845,good,0.7,positive
3852,good,0.91,positive
3885,good,0.7,positive
3902,good,0.7,positive
3912,good,0.91,positive
3935,good,0.7,positive
3957,good,0.7,positive
3964,good,0.7,positive
3967,good,0.7,positive
3973,good,0.7,positive
3981,good,0.7,positive
4004,good,0.7,positive
4035,good,0.7,positive
4039,good,0.7,positive
4045,good,0.7,positive
4056,good,0.7,positive
4059,good,0.7,positive
4065,good,0.7,positive
4086,good,0.7,positive
4102,good,0.7,positive
4113,good,0.7,positive
4129,good,0.7,positive
4145,good,0.7,positive
4025,good ai,0.7,positive
670,good ai speakerliked device muchhindi need improvement deviceas device get older voicesound decrease gradually,0.3556,positive
1067,good alexa device satisfy amazon thank amazon,0.705,positive
2998,good aspects,0.91,positive
2308,good aspects mention,0.7,positive
2023,good best alexa device,0.955,positive
2715,good best smart speaker good price,0.6536,positive
2667,good bluetooth connectivity,0.7,positive
3906,good bluetooth connectivity issue time,0.7,positive
2217,good bluetooth connectivity sound quality need improvement still worth buy alexa integration good,0.5775,positive
3629,good budget smart speaker quality sound good room party not worthy huge room,0.3746,positive
3020,good build quality value money,0.7,positive
2889,good but always need wifi not sooo much use full children,0.4167,positive
820,good but app hang new one plus suppose alexa enable phonewhich annoyingill soon switch google devices if isnt rectify,0.3455,positive
248,good but cant play another song youtube even cant read lesson say one answer dont know close dont read wikipedia one sentence give information like google please request add function alexa make update alexa app mobile update alexa hope see work,0.35,positive
472,good but device something like phone if steal get know location device use add facility,0.7,positive
2559,good but disappoint see make china,-0.025,negative
2752,good but expections high accord compact speaker,0.43,positive
282,good but improve,0.91,positive
2424,good but improve hindi language,0.7,positive
2342,good but improve lot,0.7,positive
3443,good but lag lot days dont know reason,0.7,positive
2591,good but make easier installation,0.7,positive
3562,good but manu new service develop,0.3121,positive
3415,good but need add local languages,0.35,positive
537,good but need apps every thing like media movies need external cable work wifi ai still develop way get adjust accord userat first product little disappoint but okay still feature develop ease usage like command work long distance bluetooth products,0.0736,positive
1707,good but need assist already use echo,0.7,positive
3158,good but not bad sometimes happy but sometimes time alexa tell dont know,0.6167,positive
1081,good but not best lot things improve amazon alexa always take single command repeat conversation,0.0321,positive
148,good but not search like google maximum time reply dont knowlimited news radio station improvement require if want know one alexa reply dont know but google always tell,0.705,positive
3387,good but one problem difficulty connect,0.7,positive
3466,good but product durability doubt not good,0.175,positive
1377,good but sometimes cant find right thing specially song,0.4476,positive
1983,good buy,0.7,positive
1027,good buy price speaker quality good alexa good skillset conversations improve not connect previous next statements otherwise great companion,0.5239,positive
1421,good buy worth money,0.5,positive
1552,good choice smart device control room go guy,0.4571,positive
3114,good compact design easy travel sound quality excellentinnovation good,0.5583,positive
3998,good companion alone,0.91,positive
1486,good companionwith interest featruesif fan room high speed take second time capture command,0.34,positive
3435,good condition six months,0.7,positive
1575,good connectivity easy connect bluthooth speaker bulb,0.7367,positive
2070,good could not explore full functionality due restrictions,0.3083,positive
1260,good deal sale get along wipro smart bulb,0.4571,positive
3502,good deal smart bulb,0.5621,positive
2629,good design bite play music speak loudly give instructions near alexa dot,0.32,positive
2031,good device,0.91,positive
3377,good device,0.7,positive
2295,good device but doesnt recognize command devotional songs play list recognize preloaded,0.35,positive
906,good device but songs not recognise buy gadget not play otherwise best product buy sound quality voice recognition reaction command quality best happy product,0.78,positive
147,good device dont understand tough would integrate battery worse power adapter not industry standard microusb type c amazons way make people dependent proprietary power adapter eliminate chance power power bank,-0.0222,negative
839,good device keep kid engage,0.7,positive
2222,good device learn,0.7,positive
1463,good device need little improvements alexa recognise songs ask,0.2562,positive
61,good device say toy work exactly promise no complaints therebutthis like toy day buy excite use but eventually interest fade lie around house use time listen music nothing kab tak aap use weather ya news puchoge ya bate karoge even fire tv stick pair use voice command but not perfect search end use remote even wipro smart bulb but story remians sameyou will eventually week case get bore toy,0.1724,positive
2649,good devise good support,0.805,positive
3734,good dlfor parchace,0.7,positive
1369,good echo dot,0.7,positive
1037,good enjoy,0.55,positive
1961,good enough,0.35,positive
3914,good enough,0.35,positive
1906,good entertain product,0.6,positive
1178,good entertain user friendly equipment,0.595,positive
3899,good everyone like funny familiar,0.5117,positive
1812,good everything device good,0.7,positive
2176,good experiance,0.7,positive
3170,good experience,0.7,positive
3824,good experience,0.91,positive
232,good experience but application confuse no digital wellbeing parental control like google voice not much clearer but bass impressivesome improvements require good,0.15,positive
2280,good experience product,0.7,positive
1150,good experiencealso like suggest introduce automatic intelligence update system experience latest technology overall satisfy,0.425,positive
451,good experiencegood sound qualityu also operate ur smart gadgets thiswhen u ask funny question alexa hindishe reply funny waythat soo interest product andat night u talk wishpershe reply waythat soo cooli lik productmust buy,0.3306,positive
390,good faster response awesome sound quality size speaker awesome light animationscons connect oneplus tv difficulthurdleif phone interconnect bluetooth drain phone battery,0.775,positive
2454,good fr usingsome time helpfull also,0.7,positive
1652,good friend alone keep remind list,0.7,positive
1063,good frodect,0.7,positive
1541,good fully satisfy,0.6,positive
4108,good function good voice clarity,0.4667,positive
2162,good gadget smart home if many smart devices will good,0.4657,positive
1570,good genuine product,0.655,positive
1587,good good clear sound system,0.5275,positive
1093,good good product go no dought useful gadget,0.6667,positive
619,good good response still learn sometimes delay response,0.7,positive
3960,good hardware speaker easy handle happy,0.8244,positive
1710,good hardwarebad software,0.7,positive
311,good help full deviceyou connect internet use time install alexa app mobileit comment base automatically devicesound quality verry beautifulbut not carry device direct charge not inbuilt batteryprise standardyou connect also blutooth without internet play download movies song mobile phone,0.07,positive
269,good home kid love need add skills ask relate question order smart bulb also add skill take minute ask alexa switch off change colorwowamazing overall must buy product,0.3029,positive
2708,good improvement need,0.7,positive
1268,good initiative learn lot alexa,0.7,positive
3558,good integration fire tv stick alexa connect devices,0.2875,positive
599,good interactive device quality speaker easy connect wi fi device especially kid will love alexa,0.3277,positive
1156,good item,0.7,positive
3863,good job guy,0.7,positive
2257,good keep,0.7,positive
3394,good kid,0.7,positive
333,good kid home like much sometimes face issue voice recognition if movie name common word multiple languages mix things,0.294,positive
2086,good kid old age people also homemakers get info one second ask alexa enjoy,0.3525,positive
2142,good kid work well,0.7,positive
3367,good learn tool kid do horse around,0.7,positive
468,good light speaker use dont expect boom yes alexa awesome but buy if use dont go trend,0.7,positive
3856,good like,0.91,positive
3407,good look productnice compact designclear loud sound quality,0.4,positive
530,good loud soundrecognition faster google home loud google homethis worth money,0.34,positive
3025,good loud volumebeautiful lightsgood voice recognisation,0.4,positive
781,good love echo devices but base decrease volume full please fix,0.11,positive
591,good low cost alexa device sound quality average voice recognition good,0.33,positive
4133,good luck,0.7,positive
1442,good music quality update last generation would highly recommend con not better gather info google home,0.17,positive
842,good must better,0.5667,positive
2215,good n nice,0.65,positive
3184,good nice,0.755,positive
1284,good nice productspeaker nicei get wipro smart bulb,0.5748,positive
774,good nice workiing echo dot generation,0.755,positive
1375,good one,0.7,positive
1517,good one,0.7,positive
1926,good one,0.7,positive
1955,good one,0.7,positive
3098,good one,0.7,positive
3130,good one,0.7,positive
3599,good one,0.7,positive
4057,good one,0.7,positive
2204,good one but could better,0.6,positive
228,good one get intelligent every update use auxiliary speakergood quality speaker however install various skills unlock true potential skills free install instal akinator alexa guess person think nice time pass good voice recognition,0.45,positive
502,good one go,0.7,positive
973,good one go good one gift,0.7,positive
2292,good one music goodthey enable lte call well,0.7,positive
1352,good onebut need good connectivity othwrwise performance good,0.7,positive
2525,good option smart speaker well integrate amazon music,0.5621,positive
2111,good order enjoy use,0.55,positive
3962,good overall make things easy play music news traffic update etc,0.3778,positive
1668,good pack entertainment fun entertainment time kid well go next version clock display,0.3333,positive
2255,good people want live like tony stark aka iron man,0.2121,positive
1310,good per price but sometimes doesnt understand,0.7,positive
3101,good per price range,0.7,positive
697,good performance but need songsaudio clarity level awesome,0.7333,positive
1052,good play online songsbut many time fail identify exact song play different songs,0.19,positive
4006,good price,0.7,positive
3636,good price but google assistant better,0.6,positive
335,good price but sometimes play song doesnt respond yes think will amitabh bacchan voice ans no buy voice rs overall good product bulb also good quality take every command,0.525,positive
1085,good prime music not provide much songs,0.6,positive
4049,good produc,0.7,positive
921,good product,0.91,positive
950,good product,0.7,positive
976,good product,0.7,positive
1224,good product,0.7,positive
1262,good product,0.91,positive
1300,good product,0.91,positive
1405,good product,0.7,positive
1505,good product,0.7,positive
1544,good product,0.7,positive
